导弹高度,导弹距离,导弹速度,导弹过载,导弹经度,导弹纬度,弹目距离,目标经度,目标纬度,目标高度,目标速度
1517.5226,1593.3739,591.931,0,2.0251,0.2887,196836.4556,2.0423,0.3146,24896.223,680
1543.4507,1621.0971,597.1192,0,2.0251,0.2887,196796.8581,2.0423,0.3146,24895.5408,680
1569.6207,1649.0696,602.2978,0,2.0251,0.2887,196757.1806,2.0423,0.3146,24894.8586,680
1596.0282,1677.2895,607.4685,0,2.0251,0.2887,196717.4165,2.0423,0.3146,24894.1766,680
1622.6686,1705.7545,612.6315,0,2.0251,0.2887,196677.5586,2.0423,0.3146,24893.4948,680
1649.5367,1734.4624,617.7898,0,2.0251,0.2887,196637.5989,2.0423,0.3146,24892.813,680
1675.6622,1762.9586,622.9591,0,2.0251,0.2887,196596.1374,2.0423,0.3146,24892.1313,680
1701.1707,1791.3122,628.136,0,2.0251,0.2887,196553.3494,2.0423,0.3146,24891.4498,680
1726.9193,1819.9271,633.3106,0,2.0251,0.2887,196510.4691,2.0423,0.3146,24890.7684,680
1752.9085,1848.8032,638.4832,0,2.0251,0.2887,196467.4977,2.0423,0.3146,24890.087,680
1779.139,1877.94,643.6543,0,2.0251,0.2887,196424.4363,2.0423,0.3146,24889.4059,680
1805.6111,1907.3371,648.8249,0,2.0251,0.2887,196381.2857,2.0423,0.3146,24888.7248,680
1832.3251,1936.994,653.9948,0,2.0251,0.2887,196338.0465,2.0423,0.3146,24887.363,680
1859.2811,1966.9101,659.1647,0,2.0251,0.2887,196294.719,2.0423,0.3146,24886.6822,680
1886.479,1997.0849,664.3344,0,2.0251,0.2887,196251.3036,2.0423,0.3146,24886.6822,680
1913.9185,2027.5176,669.5025,0,2.0251,0.2887,196207.7999,2.0422,0.3146,24885.3211,680
1941.599,2058.2074,674.6656,0,2.0251,0.2887,196164.2079,2.0422,0.3146,24885.3211,680
1969.5196,2089.1533,679.823,0,2.0251,0.2887,196120.527,2.0422,0.3146,24884.6407,680
1997.6793,2120.3542,684.9736,0,2.0251,0.2887,196076.7565,2.0422,0.3146,24883.9605,680
2026.0767,2151.8087,690.1169,0,2.0251,0.2887,196032.8956,2.0422,0.3146,24883.2803,680
2054.7104,2183.5157,695.2531,0,2.0251,0.2887,195988.9429,2.0422,0.3146,24882.6003,680
2083.5785,2215.4737,700.3819,0,2.0251,0.2887,195944.897,2.0422,0.3146,24881.9204,680
2112.6792,2247.6814,705.5037,0,2.0251,0.2887,195900.7562,2.0422,0.3146,24881.2406,680
2142.0104,2280.1374,710.6192,0,2.0251,0.2887,195856.5184,2.0422,0.3146,24880.5609,680
2171.5699,2312.8403,715.7288,0,2.0251,0.2887,195812.1812,2.0422,0.3146,24879.8813,680
2201.3533,2345.7863,720.6968,0,2.0251,0.2887,195767.7433,2.0422,0.3146,24879.2019,680
2231.349,2378.964,725.4036,0,2.0251,0.2887,195723.2069,2.0422,0.3146,24878.5225,680
